"date","series_id","value","realtime_start","realtime_end"
2006-03-01,"CPIAUCSL",199.7,2024-11-20,2024-11-20
2006-04-01,"CPIAUCSL",200.7,2024-11-20,2024-11-20
2006-05-01,"CPIAUCSL",201.3,2024-11-20,2024-11-20
2006-06-01,"CPIAUCSL",201.8,2024-11-20,2024-11-20
2006-07-01,"CPIAUCSL",202.9,2024-11-20,2024-11-20
2006-08-01,"CPIAUCSL",203.8,2024-11-20,2024-11-20
2006-09-01,"CPIAUCSL",202.8,2024-11-20,2024-11-20
2006-10-01,"CPIAUCSL",201.9,2024-11-20,2024-11-20
2006-11-01,"CPIAUCSL",202,2024-11-20,2024-11-20
2006-12-01,"CPIAUCSL",203.1,2024-11-20,2024-11-20
2007-01-01,"CPIAUCSL",203.437,2024-11-20,2024-11-20
2007-02-01,"CPIAUCSL",204.226,2024-11-20,2024-11-20
2007-03-01,"CPIAUCSL",205.288,2024-11-20,2024-11-20
2007-04-01,"CPIAUCSL",205.904,2024-11-20,2024-11-20
2007-05-01,"CPIAUCSL",206.755,2024-11-20,2024-11-20
2007-06-01,"CPIAUCSL",207.234,2024-11-20,2024-11-20
2007-07-01,"CPIAUCSL",207.603,2024-11-20,2024-11-20
2007-08-01,"CPIAUCSL",207.667,2024-11-20,2024-11-20
2007-09-01,"CPIAUCSL",208.547,2024-11-20,2024-11-20
2007-10-01,"CPIAUCSL",209.19,2024-11-20,2024-11-20
2007-11-01,"CPIAUCSL",210.834,2024-11-20,2024-11-20
2007-12-01,"CPIAUCSL",211.445,2024-11-20,2024-11-20
2008-01-01,"CPIAUCSL",212.174,2024-11-20,2024-11-20
2008-02-01,"CPIAUCSL",212.687,2024-11-20,2024-11-20
2008-03-01,"CPIAUCSL",213.448,2024-11-20,2024-11-20
2008-04-01,"CPIAUCSL",213.942,2024-11-20,2024-11-20
2008-05-01,"CPIAUCSL",215.208,2024-11-20,2024-11-20
2008-06-01,"CPIAUCSL",217.463,2024-11-20,2024-11-20
2008-07-01,"CPIAUCSL",219.016,2024-11-20,2024-11-20
2008-08-01,"CPIAUCSL",218.69,2024-11-20,2024-11-20
2008-09-01,"CPIAUCSL",218.877,2024-11-20,2024-11-20
2008-10-01,"CPIAUCSL",216.995,2024-11-20,2024-11-20
2008-11-01,"CPIAUCSL",213.153,2024-11-20,2024-11-20
2008-12-01,"CPIAUCSL",211.398,2024-11-20,2024-11-20
2009-01-01,"CPIAUCSL",211.933,2024-11-20,2024-11-20
2009-02-01,"CPIAUCSL",212.705,2024-11-20,2024-11-20
2009-03-01,"CPIAUCSL",212.495,2024-11-20,2024-11-20
2009-04-01,"CPIAUCSL",212.709,2024-11-20,2024-11-20
2009-05-01,"CPIAUCSL",213.022,2024-11-20,2024-11-20
2009-06-01,"CPIAUCSL",214.79,2024-11-20,2024-11-20
2009-07-01,"CPIAUCSL",214.726,2024-11-20,2024-11-20
2009-08-01,"CPIAUCSL",215.445,2024-11-20,2024-11-20
2009-09-01,"CPIAUCSL",215.861,2024-11-20,2024-11-20
2009-10-01,"CPIAUCSL",216.509,2024-11-20,2024-11-20
2009-11-01,"CPIAUCSL",217.234,2024-11-20,2024-11-20
2009-12-01,"CPIAUCSL",217.347,2024-11-20,2024-11-20
2010-01-01,"CPIAUCSL",217.488,2024-11-20,2024-11-20
2010-02-01,"CPIAUCSL",217.281,2024-11-20,2024-11-20
2010-03-01,"CPIAUCSL",217.353,2024-11-20,2024-11-20
2010-04-01,"CPIAUCSL",217.403,2024-11-20,2024-11-20
2010-05-01,"CPIAUCSL",217.29,2024-11-20,2024-11-20
2010-06-01,"CPIAUCSL",217.199,2024-11-20,2024-11-20
2010-07-01,"CPIAUCSL",217.605,2024-11-20,2024-11-20
2010-08-01,"CPIAUCSL",217.923,2024-11-20,2024-11-20
2010-09-01,"CPIAUCSL",218.275,2024-11-20,2024-11-20
2010-10-01,"CPIAUCSL",219.035,2024-11-20,2024-11-20
2010-11-01,"CPIAUCSL",219.59,2024-11-20,2024-11-20
2010-12-01,"CPIAUCSL",220.472,2024-11-20,2024-11-20
2011-01-01,"CPIAUCSL",221.187,2024-11-20,2024-11-20
2011-02-01,"CPIAUCSL",221.898,2024-11-20,2024-11-20
2011-03-01,"CPIAUCSL",223.046,2024-11-20,2024-11-20
2011-04-01,"CPIAUCSL",224.093,2024-11-20,2024-11-20
2011-05-01,"CPIAUCSL",224.806,2024-11-20,2024-11-20
2011-06-01,"CPIAUCSL",224.806,2024-11-20,2024-11-20
2011-07-01,"CPIAUCSL",225.395,2024-11-20,2024-11-20
2011-08-01,"CPIAUCSL",226.106,2024-11-20,2024-11-20
2011-09-01,"CPIAUCSL",226.597,2024-11-20,2024-11-20
2011-10-01,"CPIAUCSL",226.75,2024-11-20,2024-11-20
2011-11-01,"CPIAUCSL",227.169,2024-11-20,2024-11-20
2011-12-01,"CPIAUCSL",227.223,2024-11-20,2024-11-20
2012-01-01,"CPIAUCSL",227.842,2024-11-20,2024-11-20
2012-02-01,"CPIAUCSL",228.329,2024-11-20,2024-11-20
2012-03-01,"CPIAUCSL",228.807,2024-11-20,2024-11-20
2012-04-01,"CPIAUCSL",229.187,2024-11-20,2024-11-20
2012-05-01,"CPIAUCSL",228.713,2024-11-20,2024-11-20
2012-06-01,"CPIAUCSL",228.524,2024-11-20,2024-11-20
2012-07-01,"CPIAUCSL",228.59,2024-11-20,2024-11-20
2012-08-01,"CPIAUCSL",229.918,2024-11-20,2024-11-20
2012-09-01,"CPIAUCSL",231.015,2024-11-20,2024-11-20
2012-10-01,"CPIAUCSL",231.638,2024-11-20,2024-11-20
2012-11-01,"CPIAUCSL",231.249,2024-11-20,2024-11-20
2012-12-01,"CPIAUCSL",231.221,2024-11-20,2024-11-20
2013-01-01,"CPIAUCSL",231.679,2024-11-20,2024-11-20
2013-02-01,"CPIAUCSL",232.937,2024-11-20,2024-11-20
2013-03-01,"CPIAUCSL",232.282,2024-11-20,2024-11-20
2013-04-01,"CPIAUCSL",231.797,2024-11-20,2024-11-20
2013-05-01,"CPIAUCSL",231.893,2024-11-20,2024-11-20
2013-06-01,"CPIAUCSL",232.445,2024-11-20,2024-11-20
2013-07-01,"CPIAUCSL",232.9,2024-11-20,2024-11-20
2013-08-01,"CPIAUCSL",233.456,2024-11-20,2024-11-20
2013-09-01,"CPIAUCSL",233.544,2024-11-20,2024-11-20
2013-10-01,"CPIAUCSL",233.669,2024-11-20,2024-11-20
2013-11-01,"CPIAUCSL",234.1,2024-11-20,2024-11-20
2013-12-01,"CPIAUCSL",234.719,2024-11-20,2024-11-20
2014-01-01,"CPIAUCSL",235.288,2024-11-20,2024-11-20
2014-02-01,"CPIAUCSL",235.547,2024-11-20,2024-11-20
2014-03-01,"CPIAUCSL",236.028,2024-11-20,2024-11-20
2014-04-01,"CPIAUCSL",236.468,2024-11-20,2024-11-20
2014-05-01,"CPIAUCSL",236.918,2024-11-20,2024-11-20
2014-06-01,"CPIAUCSL",237.231,2024-11-20,2024-11-20
2014-07-01,"CPIAUCSL",237.498,2024-11-20,2024-11-20
2014-08-01,"CPIAUCSL",237.46,2024-11-20,2024-11-20
2014-09-01,"CPIAUCSL",237.477,2024-11-20,2024-11-20
2014-10-01,"CPIAUCSL",237.43,2024-11-20,2024-11-20
2014-11-01,"CPIAUCSL",236.983,2024-11-20,2024-11-20
2014-12-01,"CPIAUCSL",236.252,2024-11-20,2024-11-20
2015-01-01,"CPIAUCSL",234.747,2024-11-20,2024-11-20
2015-02-01,"CPIAUCSL",235.342,2024-11-20,2024-11-20
2015-03-01,"CPIAUCSL",235.976,2024-11-20,2024-11-20
2015-04-01,"CPIAUCSL",236.222,2024-11-20,2024-11-20
2015-05-01,"CPIAUCSL",237.001,2024-11-20,2024-11-20
2015-06-01,"CPIAUCSL",237.657,2024-11-20,2024-11-20
2015-07-01,"CPIAUCSL",238.034,2024-11-20,2024-11-20
2015-08-01,"CPIAUCSL",238.033,2024-11-20,2024-11-20
