"date","series_id","value","realtime_start","realtime_end"
2006-03-01,"MSPNHSUS",238800,2024-11-20,2024-11-20
2006-04-01,"MSPNHSUS",257000,2024-11-20,2024-11-20
2006-05-01,"MSPNHSUS",238200,2024-11-20,2024-11-20
2006-06-01,"MSPNHSUS",243200,2024-11-20,2024-11-20
2006-07-01,"MSPNHSUS",238100,2024-11-20,2024-11-20
2006-08-01,"MSPNHSUS",243900,2024-11-20,2024-11-20
2006-09-01,"MSPNHSUS",226700,2024-11-20,2024-11-20
2006-10-01,"MSPNHSUS",250400,2024-11-20,2024-11-20
2006-11-01,"MSPNHSUS",240100,2024-11-20,2024-11-20
2006-12-01,"MSPNHSUS",244700,2024-11-20,2024-11-20
2007-01-01,"MSPNHSUS",254400,2024-11-20,2024-11-20
2007-02-01,"MSPNHSUS",250800,2024-11-20,2024-11-20
2007-03-01,"MSPNHSUS",262600,2024-11-20,2024-11-20
2007-04-01,"MSPNHSUS",242500,2024-11-20,2024-11-20
2007-05-01,"MSPNHSUS",245000,2024-11-20,2024-11-20
2007-06-01,"MSPNHSUS",235500,2024-11-20,2024-11-20
2007-07-01,"MSPNHSUS",246200,2024-11-20,2024-11-20
2007-08-01,"MSPNHSUS",236500,2024-11-20,2024-11-20
2007-09-01,"MSPNHSUS",240300,2024-11-20,2024-11-20
2007-10-01,"MSPNHSUS",234300,2024-11-20,2024-11-20
2007-11-01,"MSPNHSUS",249100,2024-11-20,2024-11-20
2007-12-01,"MSPNHSUS",227700,2024-11-20,2024-11-20
2008-01-01,"MSPNHSUS",232400,2024-11-20,2024-11-20
2008-02-01,"MSPNHSUS",245300,2024-11-20,2024-11-20
2008-03-01,"MSPNHSUS",229300,2024-11-20,2024-11-20
2008-04-01,"MSPNHSUS",246400,2024-11-20,2024-11-20
2008-05-01,"MSPNHSUS",229300,2024-11-20,2024-11-20
2008-06-01,"MSPNHSUS",234300,2024-11-20,2024-11-20
2008-07-01,"MSPNHSUS",237300,2024-11-20,2024-11-20
2008-08-01,"MSPNHSUS",221000,2024-11-20,2024-11-20
2008-09-01,"MSPNHSUS",225200,2024-11-20,2024-11-20
2008-10-01,"MSPNHSUS",213200,2024-11-20,2024-11-20
2008-11-01,"MSPNHSUS",221600,2024-11-20,2024-11-20
2008-12-01,"MSPNHSUS",229600,2024-11-20,2024-11-20
2009-01-01,"MSPNHSUS",208600,2024-11-20,2024-11-20
2009-02-01,"MSPNHSUS",209700,2024-11-20,2024-11-20
2009-03-01,"MSPNHSUS",205100,2024-11-20,2024-11-20
2009-04-01,"MSPNHSUS",219200,2024-11-20,2024-11-20
2009-05-01,"MSPNHSUS",222300,2024-11-20,2024-11-20
2009-06-01,"MSPNHSUS",214700,2024-11-20,2024-11-20
2009-07-01,"MSPNHSUS",214200,2024-11-20,2024-11-20
2009-08-01,"MSPNHSUS",207100,2024-11-20,2024-11-20
2009-09-01,"MSPNHSUS",216600,2024-11-20,2024-11-20
2009-10-01,"MSPNHSUS",215100,2024-11-20,2024-11-20
2009-11-01,"MSPNHSUS",218800,2024-11-20,2024-11-20
2009-12-01,"MSPNHSUS",222600,2024-11-20,2024-11-20
2010-01-01,"MSPNHSUS",218200,2024-11-20,2024-11-20
2010-02-01,"MSPNHSUS",221900,2024-11-20,2024-11-20
2010-03-01,"MSPNHSUS",224800,2024-11-20,2024-11-20
