"date","series_id","value","realtime_start","realtime_end"
2000-01-01,"MEHOINUSA672N",70020,2024-11-19,2024-11-19
2001-01-01,"MEHOINUSA672N",68870,2024-11-19,2024-11-19
2002-01-01,"MEHOINUSA672N",68310,2024-11-19,2024-11-19
2003-01-01,"MEHOINUSA672N",68350,2024-11-19,2024-11-19
2004-01-01,"MEHOINUSA672N",68250,2024-11-19,2024-11-19
2005-01-01,"MEHOINUSA672N",69310,2024-11-19,2024-11-19
2006-01-01,"MEHOINUSA672N",70080,2024-11-19,2024-11-19
2007-01-01,"MEHOINUSA672N",71210,2024-11-19,2024-11-19
2008-01-01,"MEHOINUSA672N",68780,2024-11-19,2024-11-19
2009-01-01,"MEHOINUSA672N",68340,2024-11-19,2024-11-19
2010-01-01,"MEHOINUSA672N",66730,2024-11-19,2024-11-19
2011-01-01,"MEHOINUSA672N",65750,2024-11-19,2024-11-19
2012-01-01,"MEHOINUSA672N",65740,2024-11-19,2024-11-19
2013-01-01,"MEHOINUSA672N",68220,2024-11-19,2024-11-19
2014-01-01,"MEHOINUSA672N",67360,2024-11-19,2024-11-19
2015-01-01,"MEHOINUSA672N",71000,2024-11-19,2024-11-19
2016-01-01,"MEHOINUSA672N",73520,2024-11-19,2024-11-19
2017-01-01,"MEHOINUSA672N",74810,2024-11-19,2024-11-19
2018-01-01,"MEHOINUSA672N",75790,2024-11-19,2024-11-19
2019-01-01,"MEHOINUSA672N",81210,2024-11-19,2024-11-19
2020-01-01,"MEHOINUSA672N",79560,2024-11-19,2024-11-19
2021-01-01,"MEHOINUSA672N",79260,2024-11-19,2024-11-19
2022-01-01,"MEHOINUSA672N",77540,2024-11-19,2024-11-19
